relpath,size_bytes,has_frontmatter,current_type,inferred_type,inferred_status,inferred_extras,matched_rule
Realms/Renascita/Geography/Mokoweri/Locations/Eversoul Grove.md,16612,no,,landmark,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Locations/.*\.md$
Realms/Renascita/Geography/Mokoweri/Locations/Mokoruuth.md,6182,no,,landmark,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Locations/.*\.md$
Realms/Renascita/Geography/Mokoweri/Locations/Solaran Research Complex.md,25315,no,,landmark,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Locations/.*\.md$
Realms/Renascita/Geography/Mokoweri/Mokoweri.md,1415,yes,continent,continent,draft,{},^Realms/Renascita/Geography/([^/]+)/\1\.md$
Realms/Renascita/Geography/Mokoweri/Mountains/Jal'korran Ridge.md,0,no,,range,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Mokoweri/Mountains/Obsidian Spine.md,0,no,,range,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Mokoweri/Mountains/Temple Heights.md,0,no,,range,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Mokoweri/Provinces/Canopy Height.md,233,no,,region,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Mokoweri/Provinces/Obsidian Peaks.md,366,no,,region,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Mokoweri/Provinces/Riverlands.md,266,no,,region,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Mokoweri/Provinces/Ruins of the Ancients.md,276,no,,region,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Mokoweri/Provinces/Verdant Coast.md,222,no,,region,draft,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Mokoweri/Rivers/Coatl's Vein.md,0,no,,waterway,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Mokoweri/Rivers/Mira'ko Stream.md,0,no,,waterway,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Mokoweri/Rivers/River of Ancients.md,0,no,,waterway,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Mokoweri/Rivers/Tir'Zal Tributary.md,0,no,,waterway,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Mokoweri/Rivers/Zyran River.md,0,no,,waterway,stub,"{""continent"": ""[[Mokoweri]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lion’s Rest/Lion’s Rest.md,605,yes,,settlement,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lion’s Rest/Locations/Gatherhold.md,361,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lion’s Rest/Locations/The Den.md,349,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lion’s Rest/Locations/Tower of Inquisition.md,369,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lion’s Rest/Locations/Vedkyar Enclave.md,362,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lion’s Rest/Locations/Vigilants Watch.md,362,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lux Oescus/Locations/Korunda Gate.md,353,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lux Oescus/Locations/The Labyrinth.md,346,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Lux Oescus/Lux Oescus.md,540,yes,,settlement,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Magnus’ Rest/Cascadia.md,0,no,,landmark,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Magnus’ Rest/Locations/Cannith Tower.md,360,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Magnus’ Rest/Magnus’ Rest.md,6313,no,,settlement,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Old Westgate/Locations/Foalswood.md,348,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Old Westgate/Old Westgate.md,461,yes,,settlement,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Port Ardere/Locations/Journey’s Home.md,354,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Port Ardere/Port Ardere.md,476,yes,,settlement,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Raining Bay/Locations/Stormhome.md,349,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Raining Bay/Locations/The Serpentine Citadel.md,375,yes,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/[^/]+/Locations/[^/]+\.md$
Realms/Renascita/Geography/Pyrosia/Cities/Raining Bay/Raining Bay.md,532,yes,,settlement,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Pyrosia/Locations/Yōkuro no Ki.md,1970,no,,landmark,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Locations/.*\.md$
Realms/Renascita/Geography/Pyrosia/Mountains/Ashen Range.md,0,no,,range,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Pyrosia/Mountains/Dawnspire Mountains.md,0,no,,range,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Pyrosia/Mountains/Mount Earthspur.md,0,no,,range,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Pyrosia/Mountains/Veilsmoke Ridge.md,0,no,,range,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashen Plains/Ashen Plains.md,437,yes,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashen Plains/Candle Keep.md,486,no,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashen Plains/Obsidian Fotress.md,1884,no,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashen Plains/The Bright Tavern.md,591,no,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashen Plains/The Forge of Souls.md,195,no,,region,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashen Plains/The Ruins of Baldur's Gate.md,0,no,,region,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashen Plains/The Ruins of Elturel.md,542,no,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ashgatar/Ashgatar.md,435,yes,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Burnt Reach/Burnt Reach.md,441,yes,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Ember Peaks/Ember Peaks.md,391,yes,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Flame Coast/Flame Coast.md,390,yes,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Provinces/Frontier's Edge/Frontier's Edge.md,436,yes,,region,draft,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Pyrosia/Pyrosia.md,1927,yes,continent,continent,draft,{},^Realms/Renascita/Geography/([^/]+)/\1\.md$
Realms/Renascita/Geography/Pyrosia/Rivers/Glowtongue Stream.md,0,no,,waterway,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Pyrosia/Rivers/Moltren Delta.md,0,no,,waterway,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Pyrosia/Rivers/Redwash River.md,0,no,,waterway,stub,"{""continent"": ""[[Pyrosia]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Cities/Calvereth/Calvereth.md,0,no,,settlement,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Qethusiyya/Cities/Eltabarr/Eltabarr.md,10482,no,,settlement,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Qethusiyya/Cities/Solara/Solara.md,4626,no,,settlement,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Qethusiyya/Cities/Thelassia/Thelassia.md,9795,no,,settlement,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Qethusiyya/Cities/Zahirah/Zahirah.md,617,no,,settlement,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Cities/([^/]+)/\1\.md$
Realms/Renascita/Geography/Qethusiyya/Mountains/Kaldar Range.md,218,no,,range,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Mountains/Muzari Heights.md,0,no,,range,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Mountains/Ravenspine Cliffs.md,0,no,,range,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Mountains/Sulamir Escarpment.md,0,no,,range,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Mountains/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Al-Ramal/Al-Ramal.md,203,yes,,region,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Al-Ramal/Eversoul Grove.md,2233,no,,region,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Al-Ramal/Obsidian Obelisks of Keth.md,3933,no,,region,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Kaldar/Kaldar.md,0,no,,region,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Khalgar/Khalgar.md,224,no,,region,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Shazir Coast/Shazir Coast.md,196,no,,region,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Thraysia/Thraysia.md,241,no,,region,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Vasir/Vasir.md,247,no,,region,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Provinces/Zakhmir/Zakhmir.md,284,no,,region,draft,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Provinces/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Qethusiyya.md,1492,yes,continent,continent,draft,{},^Realms/Renascita/Geography/([^/]+)/\1\.md$
Realms/Renascita/Geography/Qethusiyya/Rivers/Delta Iksandrun.md,0,no,,waterway,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Rivers/Razan Tributary.md,0,no,,waterway,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Rivers/River Muzahir.md,0,no,,waterway,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Rivers/River Talinur.md,0,no,,waterway,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/Qethusiyya/Rivers/Sul Vahir.md,0,no,,waterway,stub,"{""continent"": ""[[Qethusiyya]]""}",^Realms/Renascita/Geography/[^/]+/Rivers/.*\.md$
Realms/Renascita/Geography/The World Beneath/Locations/The Hollowed Warrens.md,1706,yes,,landmark,draft,"{""continent"": ""[[The World Beneath]]""}",^Realms/Renascita/Geography/The World Beneath/Locations/.*\.md$
Realms/Renascita/Geography/The World Beneath/The World Beneath.md,0,no,,continent,stub,{},^Realms/Renascita/Geography/([^/]+)/\1\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Aeloria Ab Solara.md,138,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Arcane Observatory Ab Solara.md,134,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Cascadia Ab Solara.md,125,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Elementis Aqua Ab Solara.md,45,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Elementis Ignis Ab Solara.md,44,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Elementis Terra Ab Solara.md,45,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Elementis Ventus Ab Solara.md,43,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Eltabarr Ab Solara.md,129,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Lion's Rest Ab Solara.md,39,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Lunara Ab Solara.md,137,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Mechanum Ab Solara.md,70,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Mokoweri Ab Solara.md,105,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Onderweld Ab Solara.md,67,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Solara Ab Solara.md,99,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Ab Solara/Thelassia Ab Solara.md,117,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Blood Kriss.md,3104,no,,artifact,draft,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Book of Vile Darkness.md,0,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Hexweave Pylons/Imperium Deorum Pylon.md,37,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Hexweave Pylons/Infernum Pylon.md,39,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Hexweave Pylons/Libertum Pylon.md,38,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Hexweave Pylons/Mechanum Pylon.md,40,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Hexweave Pylons/Nihilum Pylon.md,38,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Hexweave Pylons/Renascitur Pylon.md,419,no,,artifact,draft,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Hexweave Pylons/Woudum Pylon.md,36,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Sword of Kas.md,37,yes,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/The Codex of Iron/The Codex of Iron.md,4132,yes,,artifact,draft,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/The Codex of Iron/The Song of Godfire and the Eternal Anvil.md,5202,no,,artifact,draft,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/The Codex of Iron/The Song of the Hammer That Waits.md,870,no,,artifact,draft,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/The Codex of Iron/The Song of the Sealed Wounds.md,7365,no,,artifact,draft,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/The Codex of Iron/The Song of the World's Forging.md,4850,no,,artifact,draft,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Artifacts/Time piece of travel.md,0,no,,artifact,stub,{},^Realms/Renascita/Legendarium/Artifacts/.*\.md$
Realms/Renascita/Legendarium/Characters/Drak'thar the Obsdian Guardian.md,10911,no,,character,draft,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Eddreict.md,145,no,,character,stub,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Ferrousania.md,115,no,,character,stub,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Glaurung.md,110,no,,character,stub,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Hephaestus.md,0,no,,character,stub,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Kasabian.md,64,yes,,character,stub,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Larendrammagar.md,157,no,,character,stub,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Ormr.md,213,no,,character,draft,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Titus.md,1831,no,,character,draft,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Characters/Varkhaal Bloodlash.md,1377,yes,,character,draft,{},^Realms/Renascita/Legendarium/Characters/.*\.md$
Realms/Renascita/Legendarium/Chosen of the Twilight.md,293,no,,artifact,draft,{},^Realms/Renascita/Legendarium/[^/]+\.md$
Realms/Renascita/Legendarium/Forgeborn Prime.md,0,no,,artifact,stub,{},^Realms/Renascita/Legendarium/[^/]+\.md$
Realms/Renascita/Legendarium/Magic/Arcane/Arcane.md,0,no,,technology,stub,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Arcane/Arcanometry.md,335,yes,,technology,draft,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Arcane/Glyph Magic.md,268,yes,,technology,draft,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Arcane/Rune Magic.md,273,yes,,technology,draft,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Nature/Nature.md,0,no,,technology,stub,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Nature/Primal Magic.md,192,yes,,technology,stub,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Nature/Psionic.md,0,no,,technology,stub,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Soul/Astral Weaving.md,331,yes,,technology,draft,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Magic/Soul/Divine Magic.md,44,yes,,technology,stub,{},^Realms/Renascita/Legendarium/Magic/.*\.md$
Realms/Renascita/Legendarium/Monsters/Avatar of Unimus.md,3274,no,,character,draft,{},^Realms/Renascita/Legendarium/Monsters/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Crystals/Frost Diamond.md,1081,yes,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Crystals/Lux Lapis.md,612,no,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Crystals/Nox Lapis.md,325,no,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Crystals/Solaran Obsidian.md,2781,yes,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Crystals/Storm Quartz.md,2636,yes,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Crystals/Sun Topaz.md,2330,no,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Metals/Everburn Steel.md,2043,no,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Metals/Icevein Steel.md,1208,no,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Metals/Salt Hardened Steel.md,1420,no,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
Realms/Renascita/Legendarium/Natural Resources/Metals/Skyforged Steel.md,1338,no,,resource,draft,{},^Realms/Renascita/Legendarium/Natural Resources/.*\.md$
